	0	1
0	mp-18921	   0.56          0.44             -485.89                -323.15              Na2GeO3, Co9S8, Na2S, Na2SO4, Na3PO4  Mutual 
1	mp-578604	   0.39          0.61             -359.29                -134.32               Na2S, Na3PO4, Na6Ge2S7, NaCrS2  Mutual 
2	mp-1194940	     0.66           0.34             -165.41                 -41.28              FeS2, FeP, Na6Ge2S7, Na2GeS3, Na4P2O7, NaF  Mutual 
3	mp-556404	     0.18           0.82             -319.41                 -15.99            Na3PS3O, MnS, MnS2, NaF, Na2PS3, Na6Ge2S7  Mutual 
4	mp-776557	      0.73            0.27             -158.46                 -57.84                  V3S4, Na4P2O7, Na5P3O10, VS2, V4GeS8  Mutual 
5	mp-694937	      0.57            0.43             -204.85                 -47.85                   V4GeS8, Na5P3O10, NaF, VS2, GeS2, Na2PS3  Mutual 
