	0	1
0	mp-18921	   0.56          0.44             -494.89                -323.15              Na2GeO3, Na2S, Na2SO4, Co9S8, Na3PO4  Mutual 
1	mp-578604	   0.39          0.61             -371.74                -134.32               Na6Ge2S7, Na3PO4, NaCrS2, Na2S  Mutual 
2	mp-1194940	     0.66           0.34             -172.28                 -41.28              Na4P2O7, FeP, FeS2, Na6Ge2S7, Na2GeS3, NaF  Mutual 
3	mp-556404	     0.18           0.82             -336.20                 -15.99            MnS2, NaF, Na6Ge2S7, Na2PS3, Na3PS3O, MnS  Mutual 
4	mp-776557	      0.73            0.27             -164.03                 -57.84                  Na4P2O7, VS2, V4GeS8, Na5P3O10, V3S4  Mutual 
5	mp-694937	      0.57            0.43             -213.54                 -47.85                   NaF, Na2PS3, V4GeS8, VS2, GeS2, Na5P3O10  Mutual 
