	0	1
0	mp-18921	   0.47        0.53          -126.79                -126.79                    Y2O3, Br, NaBr, Co3O4  
1	mp-578604	   0.55        0.45          -114.43                -114.43            Cr, Cr2O5, YCrO3, NaBr  
2	mp-1194940	     0.57         0.43           -74.52                 -74.52              NaBr, YF3, Fe2PO4F, YPO4  
3	mp-556404	     0.57         0.43           -76.09                 -76.09              Mn2PO4F, YF3, YPO4, NaBr  
4	mp-776557	      0.67          0.33           -49.56                 -49.56                     NaBr, YPO4, VPO4  
5	mp-694937	      0.64          0.36           -68.82                 -68.82                               YPO4, V4OF12, VPO4, NaBr, VP  
