	0	1
0	mp-18921	   0.55        0.45          -125.51                -121.54                NaClO4, Y2O3, Co3O4, NaCl  
1	mp-578604	   0.55        0.45          -113.59                -109.62            Cr, Cr2O5, NaCl, YCrO3  
2	mp-1194940	     0.57         0.43           -73.73                 -70.01              Fe2PO4F, YPO4, YF3, NaCl  Mutual 
3	mp-556404	     0.57         0.43           -75.30                 -71.58              NaCl, YF3, Mn2PO4F, YPO4  
4	mp-776557	      0.40          0.60           -54.97                 -49.73                     VCl3, NaCl, YPO4  
5	mp-694937	      0.64          0.36           -68.16                 -65.04                               V4OF12, YPO4, VPO4, VP, NaCl  
