	0	1
0	mp-18921	   0.56          0.44             -344.81                -323.27              Na2GeO3, Na2S, Co9S8, Na3PO4, Na2SO4  
1	mp-578604	   0.39          0.61             -164.49                -134.71               Na3PO4, NaCrS2, Na2S, Na6Ge2S7  
2	mp-1194940	     0.66           0.34              -57.97                 -41.54              FeP, NaF, Na4P2O7, Na6Ge2S7, FeS2, Na2GeS3  Mutual 
3	mp-556404	     0.18           0.82              -56.16                 -15.99            Na6Ge2S7, Na3PS3O, Na2PS3, MnS2, MnS, NaF  
4	mp-776557	      0.73            0.27              -71.19                 -57.87                  VS2, Na5P3O10, Na4P2O7, V3S4, V4GeS8  Mutual 
5	mp-694937	      0.57            0.43              -68.71                 -47.93                   GeS2, Na5P3O10, VS2, V4GeS8, Na2PS3, NaF  Mutual 
