	0	1
0	mp-18921	   0.59       0.41          -387.94                -385.59              Na2SO4, Na2S, Na3PO4, Co9S8  
1	mp-578604	   0.50       0.50          -174.96                -172.10               NaCrS2, Na3PO4  
2	mp-1194940	     0.72        0.28           -43.02                 -41.44                     NaF, FeS2, FePS, Na4P2O7  
3	mp-556404	     0.18        0.82           -15.76                 -11.08            NaF, MnS2, Na2PS3, Na3PS3O  
4	mp-776557	      0.77         0.23           -52.23                 -50.91                NaPO3, Na5P3O10, V3S4, VS2  
5	mp-694937	      0.84         0.16           -42.05                 -41.12                  Na5P3O10, V4OF12, V3S4, Na2PS3, NaF  
