53,"      0.11            0.89             -356.52                 -28.00            Na3VS4, Na2PS3, Na2GeS3, Na3PS3O, Na6Ge2S7                     "
54,"      0.09            0.91             -360.53                 -25.12             Na3VS4, Na2PS3, Na3PS4, Na3PS3O, Na6Ge2S7                     "
55,"      0.00            1.00             -368.95                  -0.00                                Na3PS4, Na2S, Na6Ge2S7         Rxn. E. Min."

57,      1.00           -0.00               -0.00                  -0.00                                                Na3V2P2O8F3                     
58,"      0.92            0.08              -60.66                 -29.50              V12P7, Na3V2(PO4)3, Na4P2O7, V4OF12, V3S4, Ge                     "
59,"      0.92            0.08              -60.88                 -29.61               Na3V2(PO4)3, Na4P2O7, V4OF12, V4P3, V3S4, Ge                     "
60,"      0.91            0.09              -61.08                 -29.70                 Na3V2(PO4)3, VP, Na4P2O7, V4OF12, V3S4, Ge                     "
61,"      0.91            0.09              -64.41                 -31.11            Na3V2(PO4)3, Na4P2O7, V4OF12, NaVP2O7, V3S4, Ge                     "
62,"      0.87            0.13              -87.46                 -39.67                 Na4P2O7, V4GeS8, V4OF12, NaVP2O7, V3S4, Ge                     "
63,"      0.85            0.15              -97.20                 -42.62                Na4P2O7, V4GeS8, V4OF12, Na5P3O10, V3S4, Ge                     "
64,"      0.84            0.16             -102.92                 -43.26               Na4P2O7, V4GeS8, V4OF12, Na5P3O10, V3S4, VP2                     "
65,"      0.79            0.21             -121.07                 -45.22                   V4OF12, V4GeS8, Na5P3O10, NaF, V3S4, VP2                     "
66,"      0.74            0.26             -141.38                 -46.29                V4GeS8, V4OF12, Na5P3O10, NaF, V3S4, Na2PS3                     "
67,"      0.66            0.34             -172.33                 -47.52                 V4GeS8, V4OF12, Na5P3O10, NaF, VS2, Na2PS3                     "
68,"      0.57            0.43             -204.85                 -47.85                   V4GeS8, Na5P3O10, NaF, VS2, GeS2, Na2PS3  Mutual Rxn. E. Min."
69,"      0.55            0.45             -212.08                 -47.82               V4GeS8, Na5P3O10, NaF, VS2, Na2Ge2S5, Na2PS3                     "
70,"      0.49            0.51             -236.83                 -47.14                Na4P2O7, V4GeS8, NaF, VS2, Na2Ge2S5, Na2PS3                     "
71,"      0.43            0.57             -255.92                 -45.81                 Na4P2O7, V4GeS8, NaF, VS2, Na2GeS3, Na2PS3                     "
72,"      0.42            0.58             -259.88                 -45.37                   Na4P2O7, Na2PS3, VS2, Na2GeS3, V3S4, NaF                     "
73,"      0.19            0.81             -332.44                 -34.90                   Na2PS3, VS2, Na2GeS3, V3S4, Na3PS3O, NaF                     "
74,"      0.15            0.85             -344.02                 -31.35               Na6Ge2S7, Na2PS3, VS2, Na2GeS3, Na3PS3O, NaF                     "
75,"      0.13            0.87             -350.76                 -28.25            Na6Ge2S7, Na2PS3, Na3VS4, Na2GeS3, Na3PS3O, NaF                     "
76,"      0.08            0.92             -360.83                 -22.34             Na3PS4, Na6Ge2S7, Na2PS3, Na3VS4, Na3PS3O, NaF                     "
77,"      0.00            1.00             -368.95                  -0.00                                     Na3PS4, Na6Ge2S7, Na2S         Rxn. E. Min."
