1,   1.00         -0.00               -0.00                  -0.00                                            NaCoO2                     
2,"   0.95          0.05              -90.97                 -73.37             Na3CoO3, Na2SO4, Na4GeO4, Na3PO4, CoO                     "
3,"   0.85          0.15             -283.12                -225.52              Na3CoO3, Na2SO4, Na4GeO4, Na3PO4, Co                     "
4,"   0.85          0.15             -289.55                -230.43            Na2SO4, Na4GeO4, Na3PO4, Co, Na10Co4O9                     "
5,"   0.84          0.16             -307.49                -243.87              Na6S2O9, Na2SO4, Na4GeO4, Na3PO4, Co                     "
6,"   0.79          0.21             -349.81                -269.36                 Na2S, Na2SO4, Na4GeO4, Na3PO4, Co                     "
7,"   0.58          0.42             -482.89                -319.46              Na2S, Na2SO4, Co9S8, Na4GeO4, Na3PO4                     "
8,"   0.56          0.44             -494.89                -323.15              Na2GeO3, Na2S, Na2SO4, Co9S8, Na3PO4  Mutual Rxn. E. Min."
9,"   0.48          0.52             -515.98                -313.35             Na6Ge2S7, Na2S, Na2SO4, Co9S8, Na3PO4                     "
10,"   0.41          0.59             -517.85                -288.57             Na6Ge2S7, Na2S, Na2SO4, Co3S4, Na3PO4         Rxn. E. Min."
11,"   0.39          0.61             -516.82                -279.40                Na6Ge2S7, Na2S, Co3S4, Na3PO4, NaS                     "
12,"   0.32          0.68             -506.78                -243.70               Na6Ge2S7, Na2S, Co3S4, NaS, Na3PSO3                     "
13,"   0.24          0.76             -480.94                -185.96             Na6Ge2S7, Na2S, Na3P(SO)2, Co3S4, NaS                     "
14,"   0.14          0.86             -447.58                -111.92               Na6Ge2S7, Na2S, Co3S4, Na3PS3O, NaS                     "
15,"   0.00          1.00             -389.37                   0.00                            Na6Ge2S7, Na2S, Na3PS4                     "

17,   1.00          0.00               -0.00                   0.00                                       NaCrO2                     
18,"   0.51          0.49             -300.92                -110.06              Ge, NaCrS2, Cr2O5, Na3PO4, Na2S                     "
19,"   0.39          0.61             -371.74                -134.32               Na6Ge2S7, Na3PO4, NaCrS2, Na2S  Mutual Rxn. E. Min."
20,"   0.32          0.68             -386.21                -123.12              Na6Ge2S7, Na2S, NaCrS2, Na3PSO3                     "
21,"   0.24          0.76             -390.81                 -95.83            Na6Ge2S7, Na2S, NaCrS2, Na3P(SO)2                     "
22,"   0.14          0.86             -396.30                 -60.64              Na6Ge2S7, Na3PS3O, NaCrS2, Na2S         Rxn. E. Min."
23,"   0.00          1.00             -389.37                   0.00                       Na6Ge2S7, Na3PS4, Na2S                     "

25,     1.00          -0.00               -0.00                  -0.00                                               Na2FePO4F                     
26,"     0.74           0.26             -139.57                 -37.10                       FeS2, FeP, Na4P2O7, GeS, FeS, NaF                     "
27,"     0.72           0.28             -149.83                 -39.22                  Na4P2O7, FeP, FeS2, Na2Ge2S5, FeS, NaF                     "
28,"     0.69           0.31             -161.08                 -40.91                   Na4P2O7, FeP, FeS2, FeS, Na2GeS3, NaF                     "
29,"     0.66           0.34             -172.28                 -41.28              Na4P2O7, FeP, FeS2, Na6Ge2S7, Na2GeS3, NaF  Mutual Rxn. E. Min."
30,"     0.62           0.38             -188.68                 -40.07              Na4P2O7, FeP, FeS2, Na3PS3O, Na6Ge2S7, NaF                     "
31,"     0.21           0.79             -335.56                 -28.97            FeP, FeS2, Na3P(SO)2, Na3PS3O, Na6Ge2S7, NaF                     "
32,"     0.19           0.81             -344.79                 -28.00                  FeP, FeS2, Na3PS3O, FeS, Na6Ge2S7, NaF                     "
33,"     0.15           0.85             -353.71                 -23.74                     FeS, Na3PS3O, Na6Ge2S7, Na3PS4, NaF                     "
34,"     0.00           1.00             -389.37                   0.00                                  Na2S, Na3PS4, Na6Ge2S7         Rxn. E. Min."

36,     1.00          -0.00                0.00                  -0.00                                            Na2MnPO4F                     
37,"     0.18           0.82             -336.20                 -15.99            MnS2, NaF, Na6Ge2S7, Na2PS3, Na3PS3O, MnS  Mutual Rxn. E. Min."
38,"     0.15           0.85             -344.62                 -14.64                  NaF, Na6Ge2S7, Na3PS4, MnS, Na3PS3O                     "
39,"     0.04           0.96             -378.20                  -5.60              NaF, Na6MnS4, Na6Ge2S7, Na3PS4, Na3PS3O                     "
40,"     0.00           1.00             -389.37                   0.00                               Na6Ge2S7, Na2S, Na3PS4         Rxn. E. Min."

42,      1.00           -0.00               -0.00                  -0.00                                           Na3V2(PO4)3                     
43,"      0.79            0.21             -130.10                 -47.84                   Na4P2O7, NaVP2O7, VS2, V4GeS8, V3S4                     "
